,2023-11-12,2023-11-11,2023-11-10,2023-10-20,2023-10-21,2023-10-22,2023-10-23,2023-10-24,2023-10-25,2023-10-26,2023-10-27,2023-10-28,2023-10-29,2023-10-30,2023-10-31,2023-11-06,2023-11-08,2023-11-09,2023-11-01,2023-11-02,2023-11-03,2023-11-04,2023-11-05,2023-11-07
AED,3.926294,,,,,,,,,,,,,,,,,,,,,,,
AFN,78.300162,,,,,,,,,,,,,,,,,,,,,,,
ALL,104.197374,,,,,,,,,,,,,,,,,,,,,,,
AMD,428.860232,,,,,,,,,,,,,,,,,,,,,,,
ANG,1.919646,,,,,,,,,,,,,,,,,,,,,,,
AOA,888.843422,,,,,,,,,,,,,,,,,,,,,,,
ARS,373.665964,,,,,,,,,,,,,,,,,,,,,,,
AUD,1.679616,,,,,,,,,,,,,,,,,,,,,,,
AWG,1.926797,,,,,,,,,,,,,,,,,,,,,,,
AZN,1.822533,,,,,,,,,,,,,,,,,,,,,,,
BAM,1.95107,,,,,,,,,,,,,,,,,,,,,,,
BBD,2.150586,,,,,,,,,,,,,,,,,,,,,,,
BDT,117.425303,,,,,,,,,,,,,,,,,,,,,,,
BGN,1.95107,,,,,,,,,,,,,,,,,,,,,,,
BHD,0.401527,,,,,,,,,,,,,,,,,,,,,,,
BIF,3026.16309,,,,,,,,,,,,,,,,,,,,,,,
BMD,1.068958,,,,,,,,,,,,,,,,,,,,,,,
BND,1.448887,,,,,,,,,,,,,,,,,,,,,,,
BOB,7.360155,,,,,,,,,,,,,,,,,,,,,,,
BRL,5.255757,,,,,,,,,,,,,,,,,,,,,,,
BSD,1.065118,,,,,,,,,,,,,,,,,,,,,,,
BTC,2.8847866e-05,,,,,,,,,,,,,,,,,,,,,,,
BTN,88.720099,,,,,,,,,,,,,,,,,,,,,,,
BWP,14.520794,,,,,,,,,,,,,,,,,,,,,,,
BYN,3.509092,,,,,,,,,,,,,,,,,,,,,,,
BYR,20951.583045,,,,,,,,,,,,,,,,,,,,,,,
BZD,2.146995,,,,,,,,,,,,,,,,,,,,,,,
CAD,1.475114,,,,,,,,,,,,,,,,,,,,,,,
CDF,2827.394988,,,,,,,,,,,,,,,,,,,,,,,
CHF,0.964243,,,,,,,,,,,,,,,,,,,,,,,
CLF,0.035436,,,,,,,,,,,,,,,,,,,,,,,
CLP,977.779381,,,,,,,,,,,,,,,,,,,,,,,
CNY,7.687732,,,,,,,,,,,,,,,,,,,,,,,
COP,4306.459023,,,,,,,,,,,,,,,,,,,,,,,
CRC,565.528879,,,,,,,,,,,,,,,,,,,,,,,
CUC,1.068958,,,,,,,,,,,,,,,,,,,,,,,
CUP,28.327395,,,,,,,,,,,,,,,,,,,,,,,
CVE,109.99831,,,,,,,,,,,,,,,,,,,,,,,
CZK,24.544564,,,,,,,,,,,,,,,,,,,,,,,
DJF,189.640219,,,,,,,,,,,,,,,,,,,,,,,
DKK,7.457919,,,,,,,,,,,,,,,,,,,,,,,
DOP,60.563165,,,,,,,,,,,,,,,,,,,,,,,
DZD,143.883927,,,,,,,,,,,,,,,,,,,,,,,
EGP,32.991385,,,,,,,,,,,,,,,,,,,,,,,
ERN,16.034375,,,,,,,,,,,,,,,,,,,,,,,
ETB,59.550321,,,,,,,,,,,,,,,,,,,,,,,
EUR,1.0,,,,,,,,,,,,,,,,,,,,,,,
FJD,2.435089,,,,,,,,,,,,,,,,,,,,,,,
FKP,0.874557,,,,,,,,,,,,,,,,,,,,,,,
GBP,0.874221,,,,,,,,,,,,,,,,,,,,,,,
GEL,2.880828,,,,,,,,,,,,,,,,,,,,,,,
GGP,0.874557,,,,,,,,,,,,,,,,,,,,,,,
GHS,12.717167,,,,,,,,,,,,,,,,,,,,,,,
GIP,0.874557,,,,,,,,,,,,,,,,,,,,,,,
